"id","city","state_code","state_name","country","lat","lng"
"848238e1-b2a4-4166-9b4f-e5fea524518e","Sheldon","SC","""South Carolina""","US","32.601389","-80.793333"
"d435c690-c820-440b-b450-a5d57c9e0921","Sheldon","VT","Vermont","US","44.887167","-72.952989"
"ba0393d1-a341-4bb7-88c0-377255fd7268","Sheldon","WI","Wisconsin","US","45.318171","-90.914148"
"edaeece9-3509-4735-b5f9-2bc142436b90","Sheldon Springs","VT","Vermont","US","44.906111","-72.978056"
"c990c938-4dad-4a7a-a41c-fd0caa6f3587","Sheldonville","MA","Massachusetts","US","42.034722","-71.387500"
"c40fe5fa-444e-4cc1-9f24-e29b0ae28a56","Shell","WY","Wyoming","US","44.563649","-107.824333"
"fed2fdcf-05fa-4945-8118-c3d12ab9ea58","Shell Knob","MO","Missouri","US","36.616672","-93.624855"
"f97f4402-2bed-4ec9-b961-ddfb91ab0d4a","Shell Lake","WI","Wisconsin","US","45.753598","-91.960606"
"8d79051a-8e43-4612-820f-fd10ed88246e","Shell Rock","IA","Iowa","US","42.706110","-92.588780"
"7c319548-4188-4b25-b756-ea0a94c75113","Shelley","ID","Idaho","US","43.376901","-112.107549"
"be782ab9-3ba1-4c66-9ea5-fc48f28581ce","Shellman","GA","Georgia","US","31.756111","-84.615278"
"b35dacdc-7e54-4ad9-95ca-efbe387700bd","Shellsburg","IA","Iowa","US","42.084829","-91.874568"
"27ced946-4281-4998-b630-1ee08bab0828","Shelly","MN","Minnesota","US","47.455375","-96.783802"
"f166fa5c-cf63-4574-b27e-28b902f03f19","Shelocta","PA","Pennsylvania","US","40.638787","-79.319070"
"4ff76a5d-ad23-463f-82db-faea1f877914","Shelter Island","NY","""New York""","US","41.064046","-72.336616"
"13bbd610-94f3-44f2-a480-4a8fd0f1372e","Shelter Island Heights","NY","""New York""","US","41.074205","-72.348082"
"c650aed9-d36d-48c7-aab2-813fb885d952","Shelton","CT","Connecticut","US","41.304689","-73.129439"
"16b6974a-1a28-4047-880c-b26c2b8d7417","Shelton","NE","Nebraska","US","40.771703","-98.743453"
"9729c76c-a4b4-4732-982d-b13f787b557c","Shelton","WA","Washington","US","47.208630","-123.072862"
"38232c1f-daf6-4075-8a17-6f6932080d19","Shenandoah","IA","Iowa","US","40.758087","-95.364798"
"4b1169ac-e859-4bf1-b75b-2d423b0e9861","Shenandoah","PA","Pennsylvania","US","40.816744","-76.203502"
"e9fcf488-2cff-4dfe-817c-c84c8d2e6849","Shenandoah","VA","Virginia","US","38.501034","-78.608975"
